Monthly measles cases in Iceland from April 1904 to January 1974,
,
time,cases
4/1/1936,999
5/1/1936,1991
6/1/1936,2513
7/1/1936,1319
8/1/1936,566
9/1/1936,157
10/1/1936,108
11/1/1936,201
12/1/1936,336
1/1/1937,113
2/1/1937,2
3/1/1937,48
4/1/1937,
5/1/1937,
6/1/1937,
7/1/1937,
8/1/1937,
9/1/1937,
10/1/1937,
11/1/1937,
12/1/1937,
1/1/1938,
2/1/1938,
3/1/1938,
4/1/1938,
5/1/1938,
6/1/1938,
7/1/1938,
8/1/1938,
9/1/1938,
10/1/1938,
11/1/1938,
12/1/1938,
1/1/1939,
2/1/1939,
3/1/1939,
4/1/1939,
5/1/1939,
6/1/1939,
7/1/1939,
8/1/1939,
9/1/1939,
10/1/1939,
11/1/1939,
12/1/1939,
1/1/1940,
2/1/1940,
3/1/1940,
4/1/1940,
5/1/1940,
6/1/1940,
7/1/1940,
8/1/1940,
9/1/1940,
10/1/1940,
11/1/1940,
12/1/1940,
1/1/1941,
2/1/1941,
3/1/1941,
4/1/1941,
5/1/1941,
6/1/1941,
7/1/1941,
8/1/1941,
9/1/1941,
10/1/1941,
11/1/1941,
12/1/1941,
1/1/1942,
2/1/1942,
3/1/1942,
4/1/1942,
5/1/1942,
6/1/1942,
7/1/1942,
8/1/1942,
9/1/1942,
10/1/1942,
11/1/1942,
12/1/1942,
1/1/1943,
2/1/1943,3
3/1/1943,76
4/1/1943,577
5/1/1943,2187
6/1/1943,1600
7/1/1943,1132
8/1/1943,507
9/1/1943,178
10/1/1943,103
11/1/1943,93
12/1/1943,160
1/1/1944,241
2/1/1944,141
3/1/1944,105
4/1/1944,16
5/1/1944,36
6/1/1944,
7/1/1944,
8/1/1944,
9/1/1944,
10/1/1944,
11/1/1944,
12/1/1944,
1/1/1945,
2/1/1945,
3/1/1945,
4/1/1945,
5/1/1945,
6/1/1945,
7/1/1945,
8/1/1945,
9/1/1945,
10/1/1945,
11/1/1945,
12/1/1945,
1/1/1946,
2/1/1946,
3/1/1946,
4/1/1946,
5/1/1946,
6/1/1946,
7/1/1946,
8/1/1946,
9/1/1946,
10/1/1946,
11/1/1946,5
12/1/1946,13
1/1/1947,244
2/1/1947,319
3/1/1947,498
4/1/1947,697
5/1/1947,532
6/1/1947,517
7/1/1947,494
8/1/1947,300
9/1/1947,305
10/1/1947,79
11/1/1947,193
12/1/1947,318
1/1/1948,187
2/1/1948,58
3/1/1948,49
4/1/1948,41
5/1/1948,17
6/1/1948,9
7/1/1948,11
8/1/1948,5
9/1/1948,
10/1/1948,
11/1/1948,
12/1/1948,
1/1/1949,
2/1/1949,
3/1/1949,
4/1/1949,
5/1/1949,
6/1/1949,
7/1/1949,
8/1/1949,
9/1/1949,
10/1/1949,
11/1/1949,
12/1/1949,
1/1/1950,1
2/1/1950,47
3/1/1950,2
4/1/1950,6
5/1/1950,32
6/1/1950,23
7/1/1950,61
8/1/1950,56
9/1/1950,105
10/1/1950,88
11/1/1950,135
12/1/1950,326
1/1/1951,679
2/1/1951,851
3/1/1951,1021
4/1/1951,1051
5/1/1951,639
6/1/1951,437
7/1/1951,372
8/1/1951,253
9/1/1951,131
10/1/1951,86
11/1/1951,76
12/1/1951,141
1/1/1952,12
2/1/1952,12
3/1/1952,2
4/1/1952,
5/1/1952,
6/1/1952,
7/1/1952,32
8/1/1952,125
9/1/1952,117
10/1/1952,250
11/1/1952,610
12/1/1952,347
1/1/1953,248
2/1/1953,69
3/1/1953,26
4/1/1953,48
5/1/1953,
6/1/1953,
7/1/1953,
8/1/1953,
9/1/1953,
10/1/1953,
11/1/1953,
12/1/1953,
1/1/1954,
2/1/1954,
3/1/1954,3
4/1/1954,71
5/1/1954,97
6/1/1954,170
7/1/1954,149
8/1/1954,257
9/1/1954,861
10/1/1954,1989
11/1/1954,1964
12/1/1954,1012
1/1/1955,309
2/1/1955,195
3/1/1955,61
4/1/1955,20
5/1/1955,70
6/1/1955,322
7/1/1955,104
8/1/1955,36
9/1/1955,43
10/1/1955,32
11/1/1955,22
12/1/1955,
1/1/1956,
2/1/1956,
3/1/1956,
4/1/1956,
5/1/1956,
6/1/1956,
7/1/1956,
8/1/1956,
9/1/1956,
10/1/1956,
11/1/1956,
12/1/1956,
1/1/1957,
2/1/1957,
3/1/1957,
4/1/1957,
5/1/1957,
6/1/1957,
7/1/1957,
8/1/1957,
9/1/1957,
10/1/1957,
11/1/1957,
12/1/1957,
1/1/1958,
2/1/1958,
3/1/1958,10
4/1/1958,1
5/1/1958,1
6/1/1958,1
7/1/1958,25
8/1/1958,15
9/1/1958,26
10/1/1958,121
11/1/1958,946
12/1/1958,1555
1/1/1959,1639
2/1/1959,955
3/1/1959,953
4/1/1959,452
5/1/1959,199
6/1/1959,63
7/1/1959,65
8/1/1959,35
9/1/1959,18
10/1/1959,20
11/1/1959,
12/1/1959,2
1/1/1960,
2/1/1960,
3/1/1960,
4/1/1960,
5/1/1960,
6/1/1960,
7/1/1960,
8/1/1960,
9/1/1960,
10/1/1960,
11/1/1960,
12/1/1960,
1/1/1961,
2/1/1961,
3/1/1961,
4/1/1961,
5/1/1961,
6/1/1961,
7/1/1961,
8/1/1961,
9/1/1961,
10/1/1961,
11/1/1961,
12/1/1961,
1/1/1962,
2/1/1962,
3/1/1962,
4/1/1962,1
5/1/1962,14
6/1/1962,13
7/1/1962,31
8/1/1962,133
9/1/1962,158
10/1/1962,459
11/1/1962,869
12/1/1962,1433
1/1/1963,1658
2/1/1963,785
3/1/1963,533
4/1/1963,445
5/1/1963,185
6/1/1963,120
7/1/1963,172
8/1/1963,37
9/1/1963,36
10/1/1963,24
11/1/1963,26
12/1/1963,19
1/1/1964,53
2/1/1964,94
3/1/1964,23
4/1/1964,82
5/1/1964,2
6/1/1964,
7/1/1964,
8/1/1964,
9/1/1964,
10/1/1964,
11/1/1964,
12/1/1964,
1/1/1965,
2/1/1965,
3/1/1965,
4/1/1965,
5/1/1965,
6/1/1965,
7/1/1965,
8/1/1965,
9/1/1965,
10/1/1965,
11/1/1965,
12/1/1965,
1/1/1966,
2/1/1966,
3/1/1966,
4/1/1966,
5/1/1966,
6/1/1966,
7/1/1966,
8/1/1966,
9/1/1966,
10/1/1966,
11/1/1966,10
12/1/1966,162
1/1/1967,469
2/1/1967,895
3/1/1967,1546
4/1/1967,1346
5/1/1967,749
6/1/1967,425
7/1/1967,216
8/1/1967,136
9/1/1967,55
10/1/1967,6
